Date:	Status:	Description:
12/25/2020 12:01:25 AM	Error	Status Description : Not Found
12/25/2020 12:01:25 AM	Error	Response: <!doctype html><html lang="en"><head><title>HTTP Status 404 – Not Found</title><style type="text/css">H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}</style></head><body><h1>HTTP Status 404 – Not Found</h1><hr class="line" /><p><b>Type</b> Status Report</p><p><b>Description</b> The origin server did not find a current representation for the target resource or is not willing to disclose that one exists.</p><hr class="line" /><h3>Apache Tomcat/7.0.96</h3></body></html>
12/25/2020 12:01:25 AM	Warning	Session request
12/25/2020 12:01:25 AM	Success	Response: {"accessKey":"27a7dc1f0f3448e899c77c38109fbcf4","id":"d366e4d2e585403390f53c02c2804b59"}
12/25/2020 12:01:32 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:01:32 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:01:32 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:01:32 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:01:33 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:01:33 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:4s5GHJ3mUXjCZAnXJPSSlXVW8Cg=
12/25/2020 12:01:48 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:01:48 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:01:48 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15109 ms)"}
12/25/2020 12:01:48 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:01:49 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:01:49 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:mEo6e7IzcIow/nJmY7r8TZNusLM=
12/25/2020 12:02:04 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:02:04 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:02:04 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15110 ms)"}
12/25/2020 12:02:04 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:02:05 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:02:05 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:InCqQdT/Rv/3Y8eBaHL3Dx9eacY=
12/25/2020 12:02:20 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:02:20 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:02:20 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:02:20 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:02:21 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:02:21 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:yvg3B8ACwxi/ncyzNTjFLaru0t0=
12/25/2020 12:02:36 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:02:36 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:02:36 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:02:36 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:02:37 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:02:37 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:OpdQBhODxjp1GJQ9XlXTZUxC1nE=
12/25/2020 12:02:52 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:02:52 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:02:52 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15359 ms)"}
12/25/2020 12:02:52 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:02:53 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:02:53 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:qi5nJO5WUJ2PX6aqgM6zBs/Zgds=
12/25/2020 12:03:08 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:03:08 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:03:08 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:03:08 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:03:09 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:03:09 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:kHVkMwFM1CN8F3dSwlEfw8UGt44=
12/25/2020 12:03:24 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:03:24 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:03:24 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:03:24 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:03:25 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:03:25 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:CY8cQYsp4asuijOHxbDZwYgCNuk=
12/25/2020 12:03:40 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:03:40 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:03:40 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15359 ms)"}
12/25/2020 12:03:40 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:03:41 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:03:41 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:HV6ggfe3UkmBqMAtgZops/HJFeI=
12/25/2020 12:03:56 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:03:56 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:03:56 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:03:56 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:03:57 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:03:57 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:7lLo2SxlO45fEvnYeVnL4Imwxpo=
12/25/2020 12:04:12 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:04:12 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:04:12 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15359 ms)"}
12/25/2020 12:04:12 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:04:13 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:04:13 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:fl4l76ANLNW2iYcaWxC0YH7zLKk=
12/25/2020 12:04:28 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:04:28 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:04:28 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:04:28 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:04:29 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:04:29 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:PjBIboE9UIdAqRYLuio2s6k139o=
12/25/2020 12:04:44 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:04:44 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:04:44 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:04:44 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:04:45 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:04:45 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:cfFBQKTfqz0InxdbZddfz/TFS+A=
12/25/2020 12:05:00 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:05:00 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:05:00 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:05:00 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:05:01 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:05:01 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:rVOXZkVejx4vZrAEgzRMXiUoPvk=
12/25/2020 12:05:16 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:05:16 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:05:16 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:05:16 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:05:17 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:05:17 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:CwLcz/Jn9P9TO62+mK00vv7NfT4=
12/25/2020 12:05:32 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:05:32 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:05:32 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:05:32 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:05:33 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:05:33 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:QuHovXqYTD5jHo0COCtPr2+xJ3k=
12/25/2020 12:05:48 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:05:48 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:05:48 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15360 ms)"}
12/25/2020 12:05:48 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:05:49 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:05:49 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:i6LbKB/8SYDM6unzRYiaM3snnlI=
12/25/2020 12:06:04 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:06:04 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:06:04 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:06:04 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:06:05 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:06:05 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:qV3TcgrQaZNVUseDmuNO+gf7nHA=
12/25/2020 12:06:20 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:06:20 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:06:20 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:06:20 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:06:21 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:06:21 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:ZWleEWH4xE4vzSck+gTmXZjQe5I=
12/25/2020 12:06:36 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:06:36 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:06:36 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15610 ms)"}
12/25/2020 12:06:36 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:06:37 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:06:37 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:S1zTpbi1nUGTgFrrK5i/9fzvWi4=
12/25/2020 12:06:52 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:06:52 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:06:52 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:06:52 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:06:53 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:06:53 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:OpB4X5X71KOuU0BnXzI2pXUnuV8=
12/25/2020 12:07:08 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:07:08 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:07:08 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:07:08 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:07:09 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:07:09 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:HvZrfYnY24zdtVEsqZsoPOgWMY4=
12/25/2020 12:07:24 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:07:24 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:07:24 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:07:24 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:07:25 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:07:25 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:sAGCyb4FqnPjObaV4ogZkPPDuVo=
12/25/2020 12:07:40 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:07:40 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:07:40 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15625 ms)"}
12/25/2020 12:07:40 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:07:41 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:07:41 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:a8Mo6xyBdV1VveXwoDdSjQ36hd4=
12/25/2020 12:07:56 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:07:56 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:07:56 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:07:56 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:07:57 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:07:57 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:0l8Y+8JX6JlNjKhVuqheSr7GzL0=
12/25/2020 12:08:12 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:08:12 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:08:12 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:08:12 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:08:13 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:08:13 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:i7SahAne7SeDP5xa1H6s4A7vXiQ=
12/25/2020 12:08:28 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:08:28 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:08:28 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:08:28 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:08:29 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:08:29 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:xKHP8oxK6RgqudJBGraFCzy+3PY=
12/25/2020 12:08:44 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:08:44 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:08:44 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15141 ms)"}
12/25/2020 12:08:44 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:08:45 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:08:45 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:OLPy3L3J3aPfium1b4WHG6pJCns=
12/25/2020 12:09:00 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:09:00 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:09:00 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15125 ms)"}
12/25/2020 12:09:00 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:09:01 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:09:01 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:cWFywG0iNWL1SYOWQAs8HnEJbjs=
12/25/2020 12:09:16 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:09:16 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:09:16 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15360 ms)"}
12/25/2020 12:09:16 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:09:17 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:09:17 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:JpD0iyqjIcN7eku0+ibLiynqft4=
12/25/2020 12:09:32 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:09:32 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:09:32 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:09:32 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:09:33 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:09:33 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:vxyMczlIvRL/wVl4gR3d5puXznQ=
12/25/2020 12:09:48 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:09:48 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:09:48 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:09:48 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:09:49 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:09:49 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:8+awZNMyFPVclu0aXUF8guEoIbI=
12/25/2020 12:10:04 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:10:04 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:10:04 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:10:04 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:10:05 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:10:05 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:LOXdhhHxAZgK/2wOgT/Q9plEowY=
12/25/2020 12:10:20 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:10:20 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:10:20 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:10:20 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:10:21 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:10:21 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:FZ9HApNXk3/HxDEYALTM4Etc0bs=
12/25/2020 12:10:36 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:10:36 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:10:36 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:10:36 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:10:37 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
12/25/2020 12:10:37 AM	Warning	AWS d366e4d2e585403390f53c02c2804b59:GdTXTh3ib/nGXwJWYw1TMuFegRk=
12/25/2020 12:10:52 AM	Error	Status Code : GatewayTimeout
12/25/2020 12:10:52 AM	Error	Status Description : Gateway Timeout
12/25/2020 12:10:52 AM	Error	Response: {  "status" : 504,  "code" : 50402,  "resource" : null,  "properties" : [ ],  "message" : "No card on encoder.",  "developerMessage" : "No card on encoder. (Text match waiting for ReadCard after 15375 ms)"}
12/25/2020 12:10:52 AM	Success	Running RFIDEncoder demo code
12/25/2020 12:10:53 AM	Failed	Unable to run TurnOff command. Reason: The port is closed.
